JOIN_SN,보험계약건수,해지건수,만기건수,해지율,만기율
18665,2,0,0,0.0,0.0
18711,1,0,0,0.0,0.0
18712,1,1,0,1.0,0.0
18754,6,2,0,0.33,0.0
18792,2,0,0,0.0,0.0
18857,1,1,0,1.0,0.0
18948,6,4,0,0.67,0.0
18963,11,0,1,0.0,0.09
18993,4,3,0,0.75,0.0
19012,3,2,0,0.67,0.0
19017,2,0,1,0.0,0.5
19050,3,0,1,0.0,0.33
19058,9,1,0,0.11,0.0
19088,5,4,0,0.8,0.0
19115,6,2,0,0.33,0.0
19139,16,1,2,0.06,0.12
19145,9,1,0,0.11,0.0
19174,3,0,0,0.0,0.0
19231,4,1,0,0.25,0.0
19256,1,2,0,2.0,0.0
19350,1,0,0,0.0,0.0
19353,8,1,1,0.12,0.12
19529,6,4,0,0.67,0.0
19549,1,1,0,1.0,0.0
19591,8,6,1,0.75,0.12
19592,1,0,0,0.0,0.0
19691,12,0,1,0.0,0.08
19733,4,0,2,0.0,0.5
19778,5,1,0,0.2,0.0
19837,3,0,2,0.0,0.67
19906,16,3,1,0.19,0.06
19979,14,23,0,1.64,0.0
20116,4,0,1,0.0,0.25
20126,2,1,0,0.5,0.0
20162,3,0,0,0.0,0.0
20178,5,3,0,0.6,0.0
20259,6,0,1,0.0,0.17
20325,11,1,3,0.09,0.27
20347,16,3,1,0.19,0.06
20377,6,2,1,0.33,0.17
20565,12,4,1,0.33,0.08
20701,5,0,0,0.0,0.0
20798,1,0,1,0.0,1.0
20897,4,2,0,0.5,0.0
20936,1,0,0,0.0,0.0
20968,1,0,0,0.0,0.0
21014,8,1,3,0.12,0.38
21056,1,0,0,0.0,0.0
21107,3,1,0,0.33,0.0
21218,12,2,0,0.17,0.0
21229,1,0,0,0.0,0.0
21246,4,1,0,0.25,0.0
21254,12,2,1,0.17,0.08
21259,11,0,0,0.0,0.0
21365,2,0,1,0.0,0.5
21382,4,0,0,0.0,0.0
21418,5,0,0,0.0,0.0
21538,1,1,0,1.0,0.0
21582,3,0,1,0.0,0.33
21593,1,0,0,0.0,0.0
21631,11,1,0,0.09,0.0
21641,5,3,0,0.6,0.0
21657,8,6,0,0.75,0.0
21689,7,0,5,0.0,0.71
21754,2,0,0,0.0,0.0
21786,3,0,0,0.0,0.0
21804,3,0,0,0.0,0.0
21866,2,0,0,0.0,0.0
21976,9,8,1,0.89,0.11
21983,1,0,1,0.0,1.0
21990,2,0,0,0.0,0.0
22012,3,0,0,0.0,0.0
22015,1,0,0,0.0,0.0
22132,6,0,0,0.0,0.0
22133,8,1,0,0.12,0.0
22157,4,1,1,0.25,0.25
22217,4,1,0,0.25,0.0
22262,6,1,0,0.17,0.0
22316,14,7,1,0.5,0.07
22411,6,4,1,0.67,0.17
22625,7,1,5,0.14,0.71
22651,3,1,0,0.33,0.0
22661,2,0,0,0.0,0.0
22701,1,0,0,0.0,0.0
22706,4,0,0,0.0,0.0
22727,4,1,0,0.25,0.0
22745,1,0,0,0.0,0.0
22750,2,0,0,0.0,0.0
22811,5,1,0,0.2,0.0
22818,5,4,0,0.8,0.0
22861,5,3,0,0.6,0.0
22904,2,0,0,0.0,0.0
22991,3,0,0,0.0,0.0
23082,4,0,1,0.0,0.25
23098,6,1,1,0.17,0.17
23107,4,0,0,0.0,0.0
23136,4,2,0,0.5,0.0
23155,4,1,0,0.25,0.0
23164,2,0,0,0.0,0.0
23179,5,1,1,0.2,0.2
23266,9,1,0,0.11,0.0
23309,1,0,0,0.0,0.0
23369,2,0,1,0.0,0.5
23370,5,1,0,0.2,0.0
23474,2,0,0,0.0,0.0
23517,2,0,0,0.0,0.0
23556,5,0,0,0.0,0.0
23600,4,0,1,0.0,0.25
23622,2,1,0,0.5,0.0
23626,1,0,0,0.0,0.0
23629,11,3,6,0.27,0.55
23631,10,1,0,0.1,0.0
23647,1,0,0,0.0,0.0
23666,1,0,0,0.0,0.0
23671,8,1,0,0.12,0.0
23714,7,2,1,0.29,0.14
23718,1,1,0,1.0,0.0
23978,6,0,6,0.0,1.0
24059,5,0,1,0.0,0.2
24109,3,0,1,0.0,0.33
24251,1,0,0,0.0,0.0
24541,10,0,10,0.0,1.0
24608,10,2,2,0.2,0.2
24637,1,0,0,0.0,0.0
24683,10,0,4,0.0,0.4
24733,6,2,2,0.33,0.33
24819,2,0,0,0.0,0.0
24862,2,0,0,0.0,0.0
24949,1,0,0,0.0,0.0
24976,1,0,0,0.0,0.0
25034,3,1,0,0.33,0.0
25052,3,1,0,0.33,0.0
25063,1,0,0,0.0,0.0
25120,2,0,1,0.0,0.5
25217,3,1,2,0.33,0.67
25231,11,0,5,0.0,0.45
25443,4,1,0,0.25,0.0
25484,6,5,3,0.83,0.5
25487,10,6,0,0.6,0.0
25526,4,1,0,0.25,0.0
25530,10,3,5,0.3,0.5
25578,11,0,0,0.0,0.0
25586,1,0,0,0.0,0.0
25587,4,2,0,0.5,0.0
25594,1,0,0,0.0,0.0
25607,1,0,0,0.0,0.0
25660,1,0,0,0.0,0.0
25712,5,3,0,0.6,0.0
25725,12,2,3,0.17,0.25
25778,6,1,1,0.17,0.17
25820,3,0,0,0.0,0.0
25842,3,1,0,0.33,0.0
25909,5,0,0,0.0,0.0
25915,5,4,0,0.8,0.0
25953,1,0,0,0.0,0.0
26112,12,0,0,0.0,0.0
26163,5,2,1,0.4,0.2
26168,9,5,2,0.56,0.22
26281,2,1,0,0.5,0.0
26395,3,1,0,0.33,0.0
26427,2,1,0,0.5,0.0
26429,12,5,1,0.42,0.08
26449,10,1,8,0.1,0.8
26560,7,0,0,0.0,0.0
26578,1,0,0,0.0,0.0
26594,4,1,0,0.25,0.0
26706,2,1,0,0.5,0.0
26714,3,0,2,0.0,0.67
26728,1,0,0,0.0,0.0
26743,4,1,0,0.25,0.0
26766,3,1,0,0.33,0.0
26867,5,1,1,0.2,0.2
26898,4,1,0,0.25,0.0
26918,2,0,0,0.0,0.0
26935,9,3,0,0.33,0.0
26956,4,1,0,0.25,0.0
26984,3,1,0,0.33,0.0
27035,5,3,1,0.6,0.2
27144,16,2,3,0.12,0.19
27187,1,0,0,0.0,0.0
27188,3,2,0,0.67,0.0
27189,3,1,0,0.33,0.0
27285,2,0,0,0.0,0.0
27292,1,0,0,0.0,0.0
27478,1,0,0,0.0,0.0
27484,1,0,0,0.0,0.0
27501,6,0,0,0.0,0.0
27550,1,1,0,1.0,0.0
27587,11,5,0,0.45,0.0
27615,10,2,1,0.2,0.1
27626,1,0,0,0.0,0.0
27647,7,5,0,0.71,0.0
27650,3,0,1,0.0,0.33
27655,3,1,0,0.33,0.0
27721,3,0,0,0.0,0.0
27779,3,1,0,0.33,0.0
27820,2,0,0,0.0,0.0
27856,20,17,0,0.85,0.0
27890,11,4,1,0.36,0.09
27928,2,0,0,0.0,0.0
27930,3,0,0,0.0,0.0
27988,3,1,0,0.33,0.0
28070,1,0,0,0.0,0.0
28144,6,2,0,0.33,0.0
28212,4,0,1,0.0,0.25
28219,5,1,1,0.2,0.2
28264,5,0,0,0.0,0.0
28271,1,0,0,0.0,0.0
28285,6,0,1,0.0,0.17
28406,1,0,0,0.0,0.0
28520,2,0,0,0.0,0.0
28621,8,1,4,0.12,0.5
28647,12,2,1,0.17,0.08
28668,10,2,3,0.2,0.3
28705,3,1,1,0.33,0.33
28718,2,0,0,0.0,0.0
28816,1,0,0,0.0,0.0
28967,5,4,0,0.8,0.0
29040,3,0,0,0.0,0.0
29099,3,3,0,1.0,0.0
29146,5,1,0,0.2,0.0
29169,6,0,2,0.0,0.33
29172,3,1,0,0.33,0.0
29290,1,0,0,0.0,0.0
29330,10,3,0,0.3,0.0
29458,3,1,0,0.33,0.0
29643,3,5,0,1.67,0.0
29674,7,2,2,0.29,0.29
29688,3,0,0,0.0,0.0
29746,1,0,0,0.0,0.0
29771,2,0,1,0.0,0.5
29778,2,0,0,0.0,0.0
29793,3,0,0,0.0,0.0
29830,1,0,0,0.0,0.0
29884,2,0,1,0.0,0.5
29888,2,0,0,0.0,0.0
29902,1,0,0,0.0,0.0
29974,1,0,0,0.0,0.0
29997,7,2,0,0.29,0.0
30068,1,0,1,0.0,1.0
30163,5,2,1,0.4,0.2
30228,11,0,8,0.0,0.73
30250,4,0,3,0.0,0.75
30313,3,1,1,0.33,0.33
30314,3,3,0,1.0,0.0
30331,8,1,5,0.12,0.62
30352,3,2,0,0.67,0.0
30415,17,12,4,0.71,0.24
30454,20,8,0,0.4,0.0
30526,3,0,0,0.0,0.0
30567,5,1,0,0.2,0.0
30591,2,0,0,0.0,0.0
30595,1,0,0,0.0,0.0
30608,15,0,0,0.0,0.0
30698,3,1,1,0.33,0.33
30712,5,0,1,0.0,0.2
30727,6,0,0,0.0,0.0
30827,3,0,0,0.0,0.0
30900,1,0,0,0.0,0.0
30919,2,0,0,0.0,0.0
30966,3,2,0,0.67,0.0
31061,11,8,0,0.73,0.0
31156,4,2,1,0.5,0.25
31162,2,1,0,0.5,0.0
31172,5,1,0,0.2,0.0
31175,1,0,0,0.0,0.0
31204,4,0,0,0.0,0.0
31219,12,8,0,0.67,0.0
31351,3,1,0,0.33,0.0
31380,2,0,0,0.0,0.0
31489,1,0,0,0.0,0.0
31562,4,3,0,0.75,0.0
31580,4,2,0,0.5,0.0
31704,5,0,3,0.0,0.6
31808,1,0,1,0.0,1.0
31830,2,0,0,0.0,0.0
31831,5,1,0,0.2,0.0
31899,6,4,0,0.67,0.0
31929,4,0,1,0.0,0.25
31939,11,2,1,0.18,0.09
31980,3,0,0,0.0,0.0
31984,5,0,0,0.0,0.0
31986,1,1,0,1.0,0.0
31989,5,0,5,0.0,1.0
31991,1,0,0,0.0,0.0
32037,4,0,1,0.0,0.25
32190,13,7,0,0.54,0.0
32265,3,0,2,0.0,0.67
32266,7,0,0,0.0,0.0
32272,2,1,2,0.5,1.0
32288,1,0,0,0.0,0.0
32311,2,0,0,0.0,0.0
32366,11,4,0,0.36,0.0
32370,5,5,0,1.0,0.0
32380,4,2,0,0.5,0.0
32404,17,1,11,0.06,0.65
32419,3,0,0,0.0,0.0
32569,11,3,6,0.27,0.55
32684,1,0,0,0.0,0.0
32714,2,1,0,0.5,0.0
32747,11,6,0,0.55,0.0
32761,8,1,7,0.12,0.88
32784,4,1,1,0.25,0.25
32793,9,1,6,0.11,0.67
32805,1,0,0,0.0,0.0
32808,3,0,0,0.0,0.0
32821,2,0,0,0.0,0.0
32827,4,1,0,0.25,0.0
32923,4,0,2,0.0,0.5
32929,6,1,0,0.17,0.0
32971,9,0,3,0.0,0.33
32989,7,0,0,0.0,0.0
33085,6,0,0,0.0,0.0
33108,8,1,3,0.12,0.38
33169,5,0,2,0.0,0.4
33387,11,3,2,0.27,0.18
33390,2,1,0,0.5,0.0
33580,16,8,0,0.5,0.0
33603,3,2,0,0.67,0.0
33726,1,0,0,0.0,0.0
33747,2,0,0,0.0,0.0
33838,3,0,0,0.0,0.0
33962,5,0,0,0.0,0.0
33991,2,0,0,0.0,0.0
33994,6,2,0,0.33,0.0
34020,6,5,0,0.83,0.0
34079,1,0,0,0.0,0.0
34189,3,0,1,0.0,0.33
34398,5,1,0,0.2,0.0
34419,7,2,0,0.29,0.0
34515,9,1,0,0.11,0.0
34551,7,0,0,0.0,0.0
34583,9,5,1,0.56,0.11
34603,5,2,1,0.4,0.2
34608,2,2,0,1.0,0.0
34654,6,0,0,0.0,0.0
34750,4,0,1,0.0,0.25
34774,5,1,3,0.2,0.6
34926,2,1,0,0.5,0.0
35087,3,0,0,0.0,0.0
35161,10,3,0,0.3,0.0
35208,3,0,0,0.0,0.0
35265,10,1,1,0.1,0.1
35270,5,3,0,0.6,0.0
35338,8,6,0,0.75,0.0
35359,11,3,0,0.27,0.0
35411,6,2,0,0.33,0.0
35557,10,2,0,0.2,0.0
35604,7,0,4,0.0,0.57
35660,8,3,3,0.38,0.38
35670,7,4,0,0.57,0.0
35707,3,0,0,0.0,0.0
35739,7,0,1,0.0,0.14
35743,7,2,2,0.29,0.29
35818,4,0,0,0.0,0.0
35828,4,1,1,0.25,0.25
35934,3,0,0,0.0,0.0
35976,7,0,3,0.0,0.43
35983,3,0,1,0.0,0.33
36092,5,3,0,0.6,0.0
36127,1,0,0,0.0,0.0
36202,11,4,0,0.36,0.0
36226,4,3,0,0.75,0.0
36237,3,0,0,0.0,0.0
36276,2,1,0,0.5,0.0
36298,9,0,6,0.0,0.67
36310,4,2,0,0.5,0.0
36319,3,1,0,0.33,0.0
36332,2,1,0,0.5,0.0
36353,2,0,0,0.0,0.0
36428,2,0,0,0.0,0.0
36461,1,0,1,0.0,1.0
36510,6,0,0,0.0,0.0
36661,2,0,0,0.0,0.0
36676,2,1,1,0.5,0.5
36698,1,0,0,0.0,0.0
36800,10,1,0,0.1,0.0
36836,1,0,0,0.0,0.0
36846,10,7,0,0.7,0.0
36969,1,0,0,0.0,0.0
36982,2,0,0,0.0,0.0
37089,2,1,0,0.5,0.0
37157,1,0,0,0.0,0.0
37204,3,1,0,0.33,0.0
37287,11,6,1,0.55,0.09
37316,1,0,0,0.0,0.0
37348,7,3,0,0.43,0.0
37356,5,2,1,0.4,0.2
37411,4,0,0,0.0,0.0
37493,10,3,0,0.3,0.0
37561,8,6,0,0.75,0.0
37575,6,1,1,0.17,0.17
37694,8,0,0,0.0,0.0
37741,3,1,0,0.33,0.0
37767,1,0,0,0.0,0.0
37804,3,0,0,0.0,0.0
37813,1,1,0,1.0,0.0
37816,3,0,0,0.0,0.0
37918,13,1,10,0.08,0.77
37926,2,0,1,0.0,0.5
37992,3,0,0,0.0,0.0
37995,3,0,0,0.0,0.0
38113,3,0,2,0.0,0.67
38140,12,10,0,0.83,0.0
38153,7,5,0,0.71,0.0
38164,7,4,0,0.57,0.0
38177,4,4,1,1.0,0.25
38182,7,4,3,0.57,0.43
38200,1,0,0,0.0,0.0
38239,4,2,0,0.5,0.0
38261,2,0,0,0.0,0.0
38317,3,0,0,0.0,0.0
38331,2,0,0,0.0,0.0
38334,7,3,0,0.43,0.0
38336,6,1,0,0.17,0.0
38380,9,2,2,0.22,0.22
38423,9,4,0,0.44,0.0
38429,8,0,1,0.0,0.12
38549,2,0,1,0.0,0.5
38612,4,0,1,0.0,0.25
38618,4,1,0,0.25,0.0
38659,7,4,0,0.57,0.0
38663,1,0,0,0.0,0.0
38668,2,0,1,0.0,0.5
38677,8,2,1,0.25,0.12
38694,2,0,0,0.0,0.0
38708,1,0,0,0.0,0.0
38730,1,0,1,0.0,1.0
38756,2,0,0,0.0,0.0
38840,3,0,0,0.0,0.0
38868,3,0,1,0.0,0.33
38917,8,5,1,0.62,0.12
38921,3,0,0,0.0,0.0
38947,5,1,0,0.2,0.0
38972,10,0,3,0.0,0.3
38981,1,0,0,0.0,0.0
39027,5,3,0,0.6,0.0
39043,5,1,3,0.2,0.6
39057,3,0,0,0.0,0.0
39061,2,0,0,0.0,0.0
39085,2,1,0,0.5,0.0
39097,9,2,0,0.22,0.0
39129,2,0,0,0.0,0.0
39195,5,3,0,0.6,0.0
39275,1,0,0,0.0,0.0
39279,1,0,0,0.0,0.0
39283,3,1,1,0.33,0.33
