,GENDER,AGE_GROUP,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
211,1,4,2,15,47.0,0,0,0,1,4.0,0.25,0.0,0.0,5.555555555555555,3
212,1,6,2,20,203.3333333333333,1,1,1,1,8.0,0.5,0.0,0.0,100.0,1
213,1,3,2,20,120.0,1,1,1,1,14.0,0.14,0.29,1.0,0.0,3
214,2,3,2,20,12.0,1,1,0,1,8.0,0.25,0.0,0.0,100.0,2
215,2,3,2,20,24.0,1,1,1,1,13.0,0.0,0.23,0.0,100.0,2
216,1,5,2,42,110.0,1,1,1,1,2.0,0.0,0.0,4.0,100.0,4
217,2,3,2,25,120.0,1,1,1,1,8.0,0.0,0.0,2.0,2.0,3
218,1,4,2,20,8.0,1,1,1,1,5.0,0.0,0.0,0.0,100.0,2
219,2,3,2,20,62.0,1,0,1,0,4.0,0.0,0.75,0.0,100.0,0
220,2,6,2,20,16.0,1,1,1,1,13.0,0.38,0.08,0.0,100.0,2
221,2,5,1,0,28.0,1,0,0,0,3.0,0.0,0.33,4.0,100.0,2
222,1,2,2,20,36.0,1,1,1,1,3.0,0.67,0.0,1.0,0.0,3
223,2,6,2,20,82.0,1,1,1,1,5.0,0.0,0.0,0.0,100.0,4
224,2,6,2,10,59.0,1,1,1,1,25.0,0.16,0.16,0.0,100.0,0
225,2,2,1,0,7.0,1,0,0,1,6.0,0.0,0.33,0.0,100.0,2
226,2,3,2,20,42.5,1,0,0,0,4.0,0.0,0.25,1.0,100.0,0
227,1,5,2,56,170.0,1,1,1,1,1.0,2.0,0.0,0.0,5.5059523809523805,3
228,1,6,2,22,94.0,0,1,0,0,14.0,0.86,0.0,1.0,6.0606060606060606,3
229,2,2,2,20,105.0,1,1,1,1,3.0,0.0,0.0,0.0,100.0,4
230,2,6,2,20,73.5,1,1,1,0,2.0,0.0,0.5,0.0,100.0,0
231,2,6,2,20,27.0,1,0,1,1,5.0,0.2,0.0,0.0,36.25,4
232,1,3,1,0,15.0,1,0,0,0,1.0,0.0,0.0,0.0,100.0,2
233,1,2,2,20,22.0,1,1,1,1,6.0,0.67,0.17,0.0,100.0,2
234,1,4,2,20,38.0,1,1,0,0,6.0,0.0,0.0,0.0,100.0,0
235,2,3,2,15,24.0,1,1,1,1,5.0,0.8,0.0,2.0,100.0,2
236,2,2,2,30,170.0,1,1,1,1,1.0,0.0,0.0,0.0,100.0,1
237,2,1,2,30,50.0,1,1,1,1,2.0,0.5,0.5,0.0,100.0,0
238,2,3,2,25,69.0,1,1,1,1,6.0,0.17,0.0,0.0,100.0,0
239,1,5,2,20,40.0,1,1,1,1,5.0,0.4,0.0,3.0,3.75,3
240,2,4,2,20,11.0,1,0,1,1,12.0,0.25,0.0,0.0,100.0,2
241,1,3,2,30,25.0,1,1,1,1,8.0,0.38,0.0,0.0,100.0,2
242,2,6,2,15,47.0,1,1,1,1,14.0,0.0,0.14,0.0,100.0,0
243,2,4,2,15,31.0,1,1,1,1,9.0,0.0,0.33,0.0,100.0,0
244,1,7,2,10,24.0,1,0,0,0,16.0,0.25,0.19,1.0,15.0,1
245,1,6,2,1,120.0,0,1,1,0,20.0,0.0,0.6,0.0,100.0,4
246,2,6,2,5,90.0,1,0,1,0,7.0,0.14,0.0,0.0,100.0,4
247,2,3,2,20,35.0,0,1,0,1,5.0,0.2,0.0,0.0,3.333333333333333,3
248,1,7,2,5,40.0,1,1,0,1,7.0,0.43,0.0,2.0,100.0,0
249,2,5,2,3,72.0,1,1,1,1,2.0,0.0,0.5,1.0,100.0,0
250,1,7,1,0,61.0,1,1,1,1,5.0,0.2,0.0,1.0,100.0,0
251,2,6,2,12,70.0,1,0,0,0,3.0,0.0,0.33,7.0,100.0,0
252,2,8,2,1,53.0,1,1,1,1,11.0,0.0,0.91,0.0,100.0,0
253,1,2,2,20,14.0,1,0,1,1,5.0,0.2,0.0,0.0,100.0,2
254,1,2,2,10,65.0,1,1,1,1,8.0,0.25,0.0,1.0,8.333333333333332,3
