GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,업권,코사인군집
2,3,2,2,20,34.0,1,1,0,0,9.0,0.22,0.0,2.0,100.0,2,0
1,7,1,2,99,90.0,1,0,0,0,5.0,0.2,0.2,1.0,100.0,2,3
2,6,2,2,10,8.0,0,0,1,0,10.0,0.4,0.1,0.0,100.0,2,0
2,7,2,2,20,35.0,0,1,0,0,4.0,0.5,0.0,0.0,100.0,2,0
1,7,2,2,11,40.0,0,1,1,0,11.0,0.64,0.0,1.0,50.0,2,3
2,7,2,2,10,15.0,0,1,0,0,12.0,0.25,0.25,0.0,100.0,2,0
2,3,2,2,20,89.0,1,1,1,0,1.0,0.0,0.0,0.0,100.0,2,2
1,6,7,2,12,230.0,1,0,0,0,3.0,0.0,0.33,1.0,100.0,2,4
1,3,7,2,20,34.0,1,0,0,0,7.0,0.14,0.14,0.0,34.583333333333336,2,2
2,1,7,2,10,40.0,1,0,0,0,5.0,0.0,0.2,0.0,100.0,2,3
2,3,1,2,15,370.0,1,0,0,0,16.0,0.62,0.06,0.0,0.0,2,1
2,7,2,2,10,29.0,0,1,0,0,5.0,0.4,0.2,2.0,100.0,2,0
2,6,3,3,1,1.0,1,0,0,0,7.0,0.0,0.14,3.0,100.0,2,0
1,3,2,2,20,34.0,0,1,0,0,14.0,0.21,0.14,1.0,0.0,2,1
2,3,7,2,12,70.0,1,0,0,0,13.0,0.23,0.15,0.0,63.888888888888886,2,2
2,6,2,2,10,49.0,1,0,1,0,7.0,0.29,0.43,1.0,100.0,2,3
2,4,7,2,12,110.0,1,0,0,0,13.0,0.38,0.0,2.0,100.0,2,2
2,4,1,2,30,66.0,1,0,0,0,3.0,0.0,0.0,0.0,100.0,2,3
2,3,7,2,15,110.0,1,0,0,0,15.0,0.13,0.0,1.0,100.0,2,2
2,5,7,2,5,1200.0,1,0,0,0,5.0,0.2,0.2,0.0,100.0,2,1
1,5,8,2,30,42.0,0,1,0,0,4.0,0.0,0.0,2.0,100.0,2,3
1,5,1,2,20,77.33333333333333,1,0,0,0,8.0,0.12,0.0,0.0,100.0,2,3
2,6,2,2,20,36.0,1,1,1,1,18.0,0.06,0.06,1.0,100.0,2,0
1,6,7,2,10,220.0,1,0,0,0,21.0,0.05,0.05,0.0,13.333333333333334,2,1
1,6,7,2,5,1300.0,1,0,0,0,9.0,0.33,0.0,0.0,75.0,2,1
2,3,2,2,15,46.0,1,1,1,1,11.0,0.18,0.0,1.0,100.0,2,3
2,2,1,2,10,62.0,1,0,0,0,5.0,0.0,0.0,1.0,100.0,2,3
1,2,1,2,20,72.33333333333333,1,1,1,1,1.0,1.0,0.0,1.0,100.0,2,3
2,7,2,2,10,14.0,0,1,0,0,12.0,0.25,0.0,0.0,100.0,2,0
1,6,7,2,5,80.0,1,0,0,0,8.0,0.5,0.0,0.0,100.0,2,3
2,6,2,2,20,33.0,1,1,1,0,7.0,0.14,0.0,1.0,100.0,2,0
1,4,2,2,27,160.0,1,1,1,1,1.0,0.0,0.0,2.0,100.0,2,2
1,3,7,2,10,260.0,1,0,0,0,4.0,0.0,0.0,0.0,100.0,2,4
1,6,2,2,20,26.0,0,1,1,0,6.0,0.17,0.0,0.0,100.0,2,0
1,8,3,3,1,250.0,1,1,1,0,10.0,0.1,0.0,0.0,100.0,2,4
2,5,1,2,20,400.0,1,0,0,0,12.0,0.0,0.0,2.0,100.0,2,4
1,5,2,2,10,24.0,1,1,1,0,5.0,0.4,0.0,0.0,0.8333333333333334,2,1
1,4,7,2,5,120.0,1,0,0,0,11.0,0.18,0.0,3.0,100.0,2,2
2,4,3,2,20,33.0,1,1,1,0,6.0,0.0,0.17,0.0,100.0,2,0
2,7,8,2,10,30.0,0,0,0,1,10.0,0.1,0.1,2.0,100.0,2,0
