GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
2,4,8,2,35,32.0,0,0,1,1,2.0,0.0,0.0,1.0,100.0,1
1,4,1,2,20,205.0,1,1,1,0,7.0,0.0,0.29,0.0,100.0,3
2,7,2,2,26,41.0,1,1,0,0,5.0,0.2,0.0,0.0,100.0,1
1,3,3,2,30,9.0,1,0,1,0,11.0,0.18,0.0,0.0,3.333333333333333,2
2,6,2,2,10,29.0,0,1,0,0,18.0,0.11,0.06,1.0,100.0,4
1,2,1,2,30,52.0,1,1,1,0,2.0,0.0,0.0,4.0,100.0,1
2,6,2,2,20,57.0,0,1,1,0,7.0,0.29,0.0,3.0,100.0,1
1,5,2,2,20,33.0,0,1,1,0,21.0,0.05,0.0,2.0,100.0,1
1,6,2,2,10,45.0,0,1,1,0,8.0,0.0,0.25,5.0,100.0,1
1,3,8,2,5,7.0,0,0,0,1,4.0,0.25,0.0,0.0,98.33333333333331,4
1,4,2,2,10,24.0,0,1,0,0,4.0,0.0,0.0,0.0,100.0,4
2,2,1,2,30,113.5,1,1,0,0,14.0,0.21,0.0,0.0,100.0,0
1,3,2,2,10,24.0,0,1,1,0,6.0,0.0,0.0,0.0,100.0,4
2,2,2,2,10,15.0,1,1,1,0,4.0,0.25,0.0,1.0,100.0,4
1,4,5,2,20,11.0,1,0,1,1,11.0,0.27,0.0,3.0,100.0,4
2,4,2,2,10,24.0,0,1,1,0,18.0,0.17,0.0,0.0,100.0,4
2,3,2,2,10,10.0,0,1,0,0,6.0,0.0,0.0,1.0,100.0,4
2,6,3,2,20,6.0,0,1,1,0,6.0,0.67,0.0,5.0,100.0,4
2,7,3,2,10,9.0,1,1,1,1,2.0,0.5,0.0,0.0,100.0,4
1,6,2,2,10,23.0,0,1,0,0,3.0,0.33,0.0,0.0,100.0,4
1,4,2,2,15,50.0,1,1,1,0,1.0,0.0,0.0,3.0,100.0,1
2,6,7,2,5,90.0,1,0,0,0,5.0,0.0,0.0,1.0,100.0,0
2,5,2,2,10,20.0,0,1,0,0,3.0,0.0,0.33,0.0,100.0,4
2,6,2,2,20,42.0,0,1,1,0,10.0,0.1,0.0,0.0,100.0,1
2,2,2,2,20,52.0,1,1,0,0,10.0,0.1,0.2,1.0,100.0,1
2,6,2,2,10,87.0,0,1,1,0,5.0,0.0,0.0,0.0,100.0,0
2,4,7,1,0,5000.0,1,0,0,0,8.0,0.0,0.12,0.0,100.0,2
1,6,1,2,10,22.0,1,1,1,0,6.0,0.17,0.0,0.0,100.0,4
1,3,1,2,5,220.0,1,0,0,0,8.0,0.12,0.0,0.0,100.0,3
1,6,7,2,5,90.0,1,0,0,0,5.0,0.2,0.0,0.0,100.0,0
2,4,7,2,10,44.0,1,0,0,0,3.0,0.67,0.0,0.0,100.0,1
1,7,1,2,5,90.0,1,0,0,0,5.0,0.2,0.2,1.0,100.0,0
2,5,1,2,20,53.0,1,1,1,0,7.0,0.0,0.14,1.0,100.0,1
2,5,1,2,10,26.0,1,0,0,0,9.0,0.0,0.0,2.0,100.0,4
2,5,2,2,20,98.0,0,1,1,0,18.0,0.28,0.0,0.0,100.0,0
2,6,2,2,35,37.0,1,1,1,0,3.0,0.0,0.0,0.0,100.0,1
2,3,1,2,20,22.0,1,0,0,0,7.0,0.14,0.0,2.0,100.0,4
2,7,2,2,30,53.0,1,1,0,0,11.0,0.0,0.45,0.0,10.555555555555555,2
2,4,2,2,10,18.0,0,1,1,0,3.0,0.0,0.67,0.0,100.0,4
2,4,1,2,20,59.66666666666666,1,1,0,0,4.0,0.25,0.0,0.0,100.0,1
2,3,8,2,5,18.0,0,0,0,1,6.0,0.17,0.0,2.0,100.0,4
1,1,3,2,20,19.0,1,0,1,0,13.0,0.23,0.0,0.0,100.0,4
2,7,2,2,10,24.0,0,1,0,0,13.0,0.23,0.08,1.0,100.0,4
2,3,1,2,49,21.0,1,1,0,0,6.0,0.0,0.0,0.0,100.0,4
2,4,3,2,20,35.0,1,1,1,0,7.0,0.0,0.14,0.0,100.0,1
2,5,7,2,10,260.0,1,0,0,0,6.0,0.17,0.17,5.0,100.0,3
1,2,2,2,10,31.0,0,1,1,0,12.0,0.42,0.0,0.0,100.0,1
1,5,2,2,10,17.0,0,1,1,0,8.0,0.25,0.0,0.0,100.0,4
1,3,1,2,20,79.66666666666667,1,1,1,0,3.0,0.0,0.0,1.0,100.0,0
2,4,2,2,10,18.0,0,1,1,0,1.0,0.0,0.0,3.0,100.0,4
2,2,3,2,20,7.0,0,1,1,0,5.0,0.0,0.0,4.0,100.0,4
2,5,2,2,10,36.5,0,1,0,0,6.0,0.67,0.0,1.0,100.0,1
1,6,2,2,10,46.0,0,1,0,0,4.0,0.0,0.0,6.0,100.0,1
2,2,4,2,20,63.0,1,1,1,0,11.0,0.0,0.91,2.0,100.0,1
2,7,2,2,10,32.0,0,1,0,0,9.0,0.11,0.11,0.0,100.0,1
1,3,2,2,10,20.0,0,1,1,0,13.0,0.0,0.38,0.0,100.0,4
2,4,2,2,10,52.0,0,1,1,0,6.0,0.33,0.17,0.0,100.0,1
2,2,7,2,20,180.0,1,0,0,0,5.0,0.2,0.0,0.0,100.0,3
2,4,1,2,10,74.0,1,1,1,0,6.0,0.0,0.0,1.0,100.0,0
1,4,2,2,25,25.0,1,1,1,0,13.0,0.23,0.23,0.0,100.0,4
1,6,3,2,20,3.0,0,1,1,0,3.0,0.0,0.0,0.0,100.0,4
1,3,1,2,20,51.0,1,1,0,0,4.0,0.0,0.0,0.0,100.0,1
2,6,3,2,20,3.0,0,1,1,0,5.0,0.0,0.0,0.0,100.0,4
2,4,7,2,10,65.0,1,0,0,0,15.0,0.13,0.13,1.0,100.0,1
1,5,7,2,3,700.0,1,0,0,0,11.0,0.27,0.0,1.0,100.0,2
2,4,2,2,10,47.0,0,1,1,0,7.0,0.14,0.0,0.0,100.0,1
2,7,2,2,10,28.0,0,1,0,0,2.0,0.5,0.0,0.0,5.833333333333333,2
1,5,2,2,10,120.0,0,1,0,0,18.0,0.11,0.06,1.0,100.0,0
2,7,1,2,20,41.0,1,0,1,0,6.0,0.33,0.0,4.0,48.75,0
1,8,9,2,3,36.0,0,0,0,1,2.0,0.0,0.0,0.0,100.0,1
2,4,1,2,30,69.0,1,1,1,0,5.0,0.2,0.0,0.0,23.88888888888889,3
2,4,7,2,20,26.0,1,0,0,1,14.0,0.07,0.0,0.0,100.0,4
1,4,3,2,30,5.0,1,0,1,0,24.0,0.25,0.0,0.0,100.0,4
1,2,2,2,20,26.0,1,1,0,0,11.0,0.0,0.09,1.0,34.166666666666664,0
2,4,1,2,30,85.0,1,1,1,0,5.0,0.2,0.2,2.0,100.0,0
2,5,1,2,5,83.0,1,0,0,0,10.0,0.4,0.0,1.0,100.0,0
1,3,4,2,30,69.0,1,1,0,0,9.0,0.11,0.0,5.0,100.0,1
1,4,3,1,0,28.0,1,0,1,0,10.0,0.3,0.0,0.0,100.0,4
2,5,2,2,10,31.0,0,1,0,0,3.0,0.67,0.0,3.0,100.0,1
2,5,2,2,17,69.0,1,1,1,0,8.0,0.12,0.12,0.0,100.0,1
2,6,7,1,0,5000.0,1,0,0,0,14.0,0.0,0.14,5.0,100.0,2
1,2,2,2,10,22.0,0,1,1,0,8.0,0.25,0.12,0.0,100.0,4
2,5,2,2,20,47.0,0,1,1,0,3.0,0.0,0.0,0.0,100.0,1
2,6,1,2,15,39.0,1,1,1,0,26.0,0.04,0.0,0.0,100.0,1
2,3,2,2,10,28.0,0,1,1,0,14.0,0.0,0.0,0.0,100.0,4
